所属产品,所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段,关键词
Dyness API,Dyness Open API/工商业储能/系统设置,TC001 工商业系统设置下发,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""1"",
  ""controlWay"": ""2"",
  ""operateMode"": ""2"",
  ""powerMargin"": ""80"",
  ""backwashSet"": ""1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC001,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC002 工商业电池参数下发,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""socProtectEnable"": ""1"",
  ""maxChargeEndSoc"": ""95"",
  ""minDisChargeEndSoc"": ""20"",
  ""offGridCutoffSoc"": ""15""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC002,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC003 工商业运行模式下发,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""0""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC003,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC004 工商业峰谷时段下发,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""electricityPriceTimeRanges"": [
    {
      ""startTime"": ""08:00"",
      ""price"": ""0.2"",
      ""priceGroup"": ""1"",
      ""timeType"": 1
    }
  ]
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC004,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/高级设置,TC005 工商业高级设置下发,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""faultReset"": ""3""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",4,接口测试,功能测试,"TC005,工商业储能/高级设置,工商业,[危险]"
Dyness API,Dyness Open API/工商业储能/系统设置,TC101 工商业系统设置-deviceSn不存在,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""NOT_EXIST_SN_000"",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC101,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC102 工商业电池参数-deviceSn不存在,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""NOT_EXIST_SN_000"",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC102,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC103 工商业运行模式-deviceSn不存在,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""NOT_EXIST_SN_000"",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC103,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC104 工商业峰谷时段-deviceSn不存在,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""NOT_EXIST_SN_000""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC104,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/高级设置,TC105 工商业高级设置-deviceSn不存在,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""NOT_EXIST_SN_000"",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC105,工商业储能/高级设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC106 工商业系统设置-deviceSn为空,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": """",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC106,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC107 工商业电池参数-deviceSn为空,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": """",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC107,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC108 工商业运行模式-deviceSn为空,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": """",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC108,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC109 工商业峰谷时段-deviceSn为空,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": """"
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC109,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/高级设置,TC110 工商业高级设置-deviceSn为空,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": """",
  ""collectorSn"": ""{{collectorSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC110,工商业储能/高级设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC111 工商业系统设置-缺collectorSn,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC111,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC112 工商业电池参数-缺collectorSn,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC112,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC113 工商业运行模式-缺collectorSn,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC113,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/高级设置,TC115 工商业高级设置-缺collectorSn,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC115,工商业储能/高级设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC121 工商业系统设置-controlMode越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""3""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC121,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC122 工商业系统设置-controlWay越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlWay"": ""3""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC122,工商业储能/系统设置,工商业"
